Year,LEA,LEA Name,School,School Name,Assessment,Student Group,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2024,02,Anne Arundel,3182,Pershing Hill Elementary, English Language Arts All Grades,All Students,287,147,51.2,9.4,39.4,49.1,<= 5.0,20240903
2024,02,Anne Arundel,3192,Ridgeway Elementary,English Language Arts 03,All Students,82,37,45.1,12.2,42.7,37.8,7.3,20240903
2024,02,Anne Arundel,3192,Ridgeway Elementary,English Language Arts 04,All Students,111,75,67.6,8.1,24.3,54.1,13.5,20240903
2024,02,Anne Arundel,3192,Ridgeway Elementary,English Language Arts 05,All Students,92,46,50.0,10.9,39.1,47.8,<= 5.0,20240903
2024,02,Anne Arundel,3192,Ridgeway Elementary, English Language Arts All Grades,All Students,285,158,55.4,10.2,34.4,47.4,8.1,20240903
2024,02,Anne Arundel,3202,Severn Elementary,English Language Arts 03,All Students,72,31,43.1,6.9,50.0,43.1,<= 5.0,20240903
2024,02,Anne Arundel,3202,Severn Elementary,English Language Arts 04,All Students,84,45,53.6,9.5,36.9,45.2,8.3,20240903
2024,02,Anne Arundel,3202,Severn Elementary,English Language Arts 05,All Students,88,54,61.4,5.7,33.0,50.0,11.4,20240903
2024,02,Anne Arundel,3202,Severn Elementary, English Language Arts All Grades,All Students,244,130,53.3,7.4,39.3,46.3,7.0,20240903
2024,02,Anne Arundel,3212,South Shore Elementary,English Language Arts 03,All Students,49,37,75.5,<= 5.0,24.5,67.3,8.2,20240903
2024,02,Anne Arundel,3212,South Shore Elementary,English Language Arts 04,All Students,44,29,65.9,9.1,25.0,47.7,18.2,20240903
2024,02,Anne Arundel,3212,South Shore Elementary,English Language Arts 05,All Students,53,43,81.1,9.4,9.4,56.6,24.5,20240903
