"","GEOID","NAME","variable","Income_per_cap","moe"
"224","21153","ZCTA5 21153","B19301_001",171235,52140
"225","21154","ZCTA5 21154","B19301_001",45643,5132
"226","21155","ZCTA5 21155","B19301_001",56199,11394
"227","21156","ZCTA5 21156","B19301_001",49965,16894
"228","21157","ZCTA5 21157","B19301_001",46732,2403
"229","21158","ZCTA5 21158","B19301_001",51165,3191
"230","21160","ZCTA5 21160","B19301_001",45760,12585
"231","21161","ZCTA5 21161","B19301_001",53019,8405
"232","21162","ZCTA5 21162","B19301_001",58171,8175
"233","21163","ZCTA5 21163","B19301_001",67501,15910
"234","21201","ZCTA5 21201","B19301_001",40342,4171
"235","21202","ZCTA5 21202","B19301_001",43816,3844
"236","21204","ZCTA5 21204","B19301_001",67752,5399
"237","21205","ZCTA5 21205","B19301_001",22109,2977
"238","21206","ZCTA5 21206","B19301_001",34560,2093
"239","21207","ZCTA5 21207","B19301_001",35043,1956
"240","21208","ZCTA5 21208","B19301_001",52450,3552
"241","21209","ZCTA5 21209","B19301_001",51800,5610
"242","21210","ZCTA5 21210","B19301_001",64671,5795
"243","21211","ZCTA5 21211","B19301_001",57993,3366
"244","21212","ZCTA5 21212","B19301_001",61277,5442
"245","21213","ZCTA5 21213","B19301_001",27805,2065
"246","21214","ZCTA5 21214","B19301_001",40444,2811
"247","21215","ZCTA5 21215","B19301_001",30034,1989
"248","21216","ZCTA5 21216","B19301_001",26585,2268
"249","21217","ZCTA5 21217","B19301_001",31721,2541
"250","21218","ZCTA5 21218","B19301_001",38481,2867
"251","21219","ZCTA5 21219","B19301_001",61908,12421
"252","21220","ZCTA5 21220","B19301_001",40691,2509
"253","21221","ZCTA5 21221","B19301_001",37385,1756
"254","21222","ZCTA5 21222","B19301_001",30695,2017
"255","21223","ZCTA5 21223","B19301_001",25043,2085
"256","21224","ZCTA5 21224","B19301_001",51670,2510
"257","21225","ZCTA5 21225","B19301_001",26626,1620
"258","21226","ZCTA5 21226","B19301_001",42725,7894
"259","21227","ZCTA5 21227","B19301_001",39846,2966
"260","21228","ZCTA5 21228","B19301_001",52854,2444
"261","21229","ZCTA5 21229","B19301_001",31555,1376
"262","21230","ZCTA5 21230","B19301_001",62856,4286
"263","21231","ZCTA5 21231","B19301_001",63380,3899
"264","21234","ZCTA5 21234","B19301_001",45061,1997
"265","21236","ZCTA5 21236","B19301_001",45340,3083
"266","21237","ZCTA5 21237","B19301_001",43614,2913
"267","21239","ZCTA5 21239","B19301_001",39086,4079
"268","21240","ZCTA5 21240","B19301_001",NA,NA
"269","21244","ZCTA5 21244","B19301_001",37693,1902
"270","21250","ZCTA5 21250","B19301_001",5511,1115
"271","21251","ZCTA5 21251","B19301_001",13550,18216
"272","21252","ZCTA5 21252","B19301_001",5628,727
"273","21286","ZCTA5 21286","B19301_001",55193,4164
"274","21401","ZCTA5 21401","B19301_001",78167,6474
"275","21402","ZCTA5 21402","B19301_001",31553,4276
"276","21403","ZCTA5 21403","B19301_001",76445,5820
"277","21405","ZCTA5 21405","B19301_001",88595,23254
"278","21409","ZCTA5 21409","B19301_001",69358,6913
"279","21502","ZCTA5 21502","B19301_001",30485,1296
"280","21520","ZCTA5 21520","B19301_001",41376,17036
"281","21521","ZCTA5 21521","B19301_001",35683,5545
"282","21523","ZCTA5 21523","B19301_001",24468,7678
"283","21524","ZCTA5 21524","B19301_001",25651,8346
"284","21529","ZCTA5 21529","B19301_001",28375,8172
"285","21530","ZCTA5 21530","B19301_001",33165,7272
"286","21531","ZCTA5 21531","B19301_001",32982,5045
"287","21532","ZCTA5 21532","B19301_001",31281,2724
"288","21536","ZCTA5 21536","B19301_001",39787,4957
"289","21538","ZCTA5 21538","B19301_001",35141,7636
"290","21539","ZCTA5 21539","B19301_001",27701,3642
"291","21540","ZCTA5 21540","B19301_001",28447,6456
"292","21541","ZCTA5 21541","B19301_001",63551,20787
"293","21542","ZCTA5 21542","B19301_001",14687,6298
"294","21543","ZCTA5 21543","B19301_001",47526,14444
"295","21545","ZCTA5 21545","B19301_001",29738,4417
"296","21550","ZCTA5 21550","B19301_001",41945,6856
"297","21555","ZCTA5 21555","B19301_001",23579,5473
"298","21557","ZCTA5 21557","B19301_001",28306,6256
"299","21561","ZCTA5 21561","B19301_001",52519,8354
"300","21562","ZCTA5 21562","B19301_001",27581,6418
"301","21601","ZCTA5 21601","B19301_001",51651,3726
"302","21607","ZCTA5 21607","B19301_001",37773,8674
"303","21610","ZCTA5 21610","B19301_001",32939,8649
"304","21612","ZCTA5 21612","B19301_001",90282,43073
"305","21613","ZCTA5 21613","B19301_001",34131,2513
"306","21617","ZCTA5 21617","B19301_001",50516,4705
"307","21619","ZCTA5 21619","B19301_001",63189,12534
"308","21620","ZCTA5 21620","B19301_001",43887,3559
"309","21622","ZCTA5 21622","B19301_001",55158,14498
"310","21623","ZCTA5 21623","B19301_001",36883,5881
"311","21624","ZCTA5 21624","B19301_001",50158,24627
"312","21625","ZCTA5 21625","B19301_001",40291,9791
"313","21626","ZCTA5 21626","B19301_001",62813,33047
"314","21627","ZCTA5 21627","B19301_001",50204,12872
"315","21628","ZCTA5 21628","B19301_001",46134,19884
"316","21629","ZCTA5 21629","B19301_001",34454,3294
"317","21631","ZCTA5 21631","B19301_001",37153,4942
"318","21632","ZCTA5 21632","B19301_001",35963,5920
"319","21634","ZCTA5 21634","B19301_001",35113,10598
"320","21635","ZCTA5 21635","B19301_001",47379,6265
"321","21636","ZCTA5 21636","B19301_001",29296,6007
"322","21638","ZCTA5 21638","B19301_001",62724,7813
"323","21639","ZCTA5 21639","B19301_001",32891,3587
"324","21640","ZCTA5 21640","B19301_001",30105,4791
"325","21641","ZCTA5 21641","B19301_001",29232,8710
"326","21643","ZCTA5 21643","B19301_001",28595,2827
"327","21644","ZCTA5 21644","B19301_001",30251,7487
"328","21645","ZCTA5 21645","B19301_001",60179,22380
"329","21647","ZCTA5 21647","B19301_001",53003,11892
"330","21648","ZCTA5 21648","B19301_001",46214,29498
"331","21649","ZCTA5 21649","B19301_001",22348,4007
"332","21650","ZCTA5 21650","B19301_001",57466,23125
"333","21651","ZCTA5 21651","B19301_001",35069,4913
"334","21652","ZCTA5 21652","B19301_001",109190,36034
"335","21653","ZCTA5 21653","B19301_001",68308,25559
"336","21654","ZCTA5 21654","B19301_001",61133,12913
"337","21655","ZCTA5 21655","B19301_001",42405,5595
"338","21657","ZCTA5 21657","B19301_001",39152,5625
"339","21658","ZCTA5 21658","B19301_001",59417,6526
"340","21659","ZCTA5 21659","B19301_001",30218,5209
"341","21660","ZCTA5 21660","B19301_001",33838,3602
"342","21661","ZCTA5 21661","B19301_001",52141,6547
"343","21662","ZCTA5 21662","B19301_001",82880,26215
"344","21663","ZCTA5 21663","B19301_001",61038,8064
"345","21664","ZCTA5 21664","B19301_001",29945,6547
"346","21665","ZCTA5 21665","B19301_001",100251,54620
"347","21666","ZCTA5 21666","B19301_001",62181,5606
"348","21667","ZCTA5 21667","B19301_001",45132,15384
"349","21668","ZCTA5 21668","B19301_001",40556,7846
"350","21669","ZCTA5 21669","B19301_001",55514,9367
"351","21671","ZCTA5 21671","B19301_001",48297,14929
"352","21672","ZCTA5 21672","B19301_001",47549,20006
"353","21673","ZCTA5 21673","B19301_001",47391,8191
"354","21675","ZCTA5 21675","B19301_001",207895,271053
"355","21676","ZCTA5 21676","B19301_001",68607,21043
"356","21677","ZCTA5 21677","B19301_001",44487,14131
"357","21678","ZCTA5 21678","B19301_001",46318,7574
"358","21679","ZCTA5 21679","B19301_001",70480,26503
"359","21701","ZCTA5 21701","B19301_001",56512,2331
"360","21702","ZCTA5 21702","B19301_001",48392,2092
"361","21703","ZCTA5 21703","B19301_001",44225,2427
"362","21704","ZCTA5 21704","B19301_001",60724,4153
"363","21705","ZCTA5 21705","B19301_001",NA,NA
"364","21710","ZCTA5 21710","B19301_001",65236,5800
"365","21711","ZCTA5 21711","B19301_001",52023,12317
"366","21713","ZCTA5 21713","B19301_001",46822,5238
"367","21714","ZCTA5 21714","B19301_001",99512,16583
"368","21716","ZCTA5 21716","B19301_001",51221,4534
"369","21717","ZCTA5 21717","B19301_001",46945,17712
"370","21718","ZCTA5 21718","B19301_001",56024,16995
"371","21719","ZCTA5 21719","B19301_001",43082,8159
"372","21722","ZCTA5 21722","B19301_001",37255,5014
"373","21723","ZCTA5 21723","B19301_001",81283,13343
"374","21727","ZCTA5 21727","B19301_001",31450,3203
"375","21733","ZCTA5 21733","B19301_001",42688,9265
"376","21734","ZCTA5 21734","B19301_001",38984,5476
"377","21737","ZCTA5 21737","B19301_001",96593,17625
"378","21738","ZCTA5 21738","B19301_001",86408,10544
"379","21740","ZCTA5 21740","B19301_001",32289,1866
"380","21742","ZCTA5 21742","B19301_001",40147,2401
"381","21746","ZCTA5 21746","B19301_001",1894,1136
"382","21750","ZCTA5 21750","B19301_001",39417,6549
"383","21754","ZCTA5 21754","B19301_001",72806,7577
"384","21755","ZCTA5 21755","B19301_001",59199,7310
"385","21756","ZCTA5 21756","B19301_001",49790,5551
