"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,3,"Baltimore County",801,"Sparks Elementary"," Mathematics All Grades","All Students","240","170",70.8,"<= 5.0","27.5","62.5","8.3",20241015,"-8534003.8106","4799600.324","1606","Baltimore County                                  ","03.117","601 BELFAST ROAD","SPARKS","MD","21152","K-5","Elementary","ZCTA5 21152","B19301_001",68763,9892
2023,23,"Worcester",102,"Pocomoke Elementary"," Mathematics All Grades","All Students","96","68",70.8,"8.3","20.8","55.2","15.6",20241015,"-8411104.7517","4587516.3677","1382","Worcester                                         ","23.002","2119 POCOMOKE BELTWAY","POCOMOKE CITY","MD","21851","PreK-3","Elementary","ZCTA5 21851","B19301_001",33508,4097
2023,15,"Montgomery",233,"Fallsmead Elementary"," Mathematics All Grades","All Students","273","193",70.7,"<= 5.0","24.9","59.0","11.7",20241015,"-8591239.5231","4732838.8502","2202","Montgomery                                        ","15.040","1800 GREENPLACE TER","ROCKVILLE","MD","20850","K-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
2023,15,"Montgomery",513,"Belmont Elementary"," Mathematics All Grades","All Students","169","119",70.4,"<= 5.0","26.0","59.2","11.2",20241015,"-8579015.664","4747281.6198","2219","Montgomery                                        ","15.021","19528 OLNEY MILL RD","OLNEY","MD","20832","K-5","Elementary","ZCTA5 20832","B19301_001",67017,5032
2023,15,"Montgomery",513,"Belmont Elementary"," Mathematics All Grades","All Students","169","119",70.4,"<= 5.0","26.0","59.2","11.2",20241015,"-8534974.5442","4765227.8265","2332","Baltimore City                                    ","30.214","1406 NORTH ELLAMONT ST","BALTIMORE","MD","21216","PreK-5","Elementary","ZCTA5 21216","B19301_001",26585,2268
2023,15,"Montgomery",216,"Travilah Elementary"," Mathematics All Grades","All Students","202","142",70.3,"<= 5.0","24.8","55.4","14.9",20241015,"-8599280.4957","4733513.1447","2186","Montgomery                                        ","15.077","13801 DUFIEF MILL ROAD","GAITHERSBURG","MD","20878","K-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,15,"Montgomery",401,"Bethesda Elementary"," Mathematics All Grades","All Students","302","211",69.9,"6.6","23.5","54.6","15.2",20241015,"-8582733.4883","4719750.4047","2215","Montgomery                                        ","15.015","7600 ARLINGTON ROAD","BETHESDA","MD","20814","K-5","Elementary","ZCTA5 20814","B19301_001",107586,6375
2023,3,"Baltimore County",1001,"Carroll Manor Elementary"," Mathematics All Grades","All Students","167","116",69.5,"<= 5.0","28.7","59.9","9.6",20241015,"-8518604.8706","4793170.8759","1562","Baltimore County                                  ","03.161","4434 CARROLL MANOR RD","BALDWIN","MD","21013","K-5","Elementary","ZCTA5 21013","B19301_001",72180,10369
2023,3,"Baltimore County",1001,"Carroll Manor Elementary"," Mathematics All Grades","All Students","167","116",69.5,"<= 5.0","28.7","59.9","9.6",20241015,"-8623837.5897","4766654.3312","1741","Frederick                                         ","10.066","5624 ADAMSTOWN RD","ADAMSTOWN","MD","21710","PreK-5","Elementary","ZCTA5 21710","B19301_001",65236,5800
2023,15,"Montgomery",227,"Ritchie Park Elementary"," Mathematics All Grades","All Students","196","136",69.4,"5.1","25.5","56.6","12.8",20241015,"-8591006.1154","4730696.4169","2155","Montgomery                                        ","15.139","1514 DUNSTER RD","ROCKVILLE","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
