"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"27","Baden Elementary","English",37.2209302325581,2023,16,"Prince George's",802," English Language Arts All Grades","All Students","100","49",49,"9.0","42.0","45.0","<= 5.0",20241015,11.7790697674419,"-8546037.464","4673191.7003","1932","Prince George's                                   ","16.228","13601 BADEN-WESTWOOD ROAD","BRANDYWINE","MD","20613","PreK-6","Elementary","ZCTA5 20613","B19301_001",60879,5333
"28","Bainbridge Elementary","English",40.7055172413793,2023,7,"Cecil",704," English Language Arts All Grades","All Students","117","55",47,"11.1","41.9","42.7","<= 5.0",20241015,6.2944827586207,"-8468545.3714","4808890.4182","1652","Cecil                                             ","07.034","41 PRESTON DR","PORT DEPOSIT","MD","21904","PreK-5","Elementary","ZCTA5 21904","B19301_001",39346,4768
"29","Bakerfield Elementary","English",39.3293532338309,2023,12,"Harford",212," English Language Arts All Grades","All Students","204","96",47.1,"7.4","45.6","44.1","<= 5.0",20241015,7.77064676616915,"-8479267.1127","4795486.087","2364","Harford                                           ","12.044","36 BAKER ST","ABERDEEN","MD","21001","PreK-5","Elementary","ZCTA5 21001","B19301_001",40698,2393
"30","Ballenger Creek Elementary","English",47.0015060240964,2023,10,"Frederick",223," English Language Arts All Grades","All Students","313","147",47,"7.7","45.4","44.4","<= 5.0",20241015,-0.00150602409638623,"-8619535.2399","4775935.4676","1758","Frederick                                         ","10.043","5250 KINGSBROOK DR","FREDERICK","MD","21703","PreK-5","Elementary","ZCTA5 21703","B19301_001",44225,2427
"31","Ballenger Creek Middle","English",49.5766954377312,2023,10,"Frederick",2305," English Language Arts All Grades","All Students","784","339",43.2,"6.1","50.6","41.5","<= 5.0",20241015,-6.37669543773119,"-8620688.456","4777079.9359","1756","Frederick                                         ","10.041","5525 BALLENGER CREEK PIKE","FREDERICK","MD","21703","6-8","Middle","ZCTA5 21703","B19301_001",44225,2427
"32","Baltimore City College","English",64.2,2023,30,"Baltimore City",480," English Language Arts All Grades","All Students","392","277",70.7,"<= 5.0","29.1","63.5","7.1",20241015,6.5,"-8526749.1392","4768441.9952","2689","Baltimore City                                    ","30.110","3220 THE ALAMEDA","BALTIMORE","MD","21218","9-12","High","ZCTA5 21218","B19301_001",38481,2867
"33","Baltimore Highlands Elementary","English",20.7892307692308,2023,3,"Baltimore County",1307," English Language Arts All Grades","All Students","235","46",19.6,"25.5","54.9","19.6","<= 5.0",20241015,-1.18923076923077,"-8531763.836","4755675.6982","2701","Baltimore County                                  ","03.100","4200 ANNAPOLIS RD","BALTIMORE","MD","21227","PreK-5","Elementary","ZCTA5 21227","B19301_001",39846,2966
"34","Baltimore Leadership School for Young Women","English",20.4662234042553,2023,30,"Baltimore City",348," English Language Arts All Grades","All Students","317","84",26.5,"10.4","63.1","25.9","<= 5.0",20241015,6.03377659574468,"-8529083.6723","4764043.8108","2724","Baltimore City                                    ","30.284","128 W FRANKLIN ST","BALTIMORE","MD","21201","6-12","Middle/High","ZCTA5 21201","B19301_001",40342,4171
"35","Baltimore Polytechnic Institute","English",77,2023,30,"Baltimore City",403," English Language Arts All Grades","All Students","370","326",88.1,"<= 5.0","11.6","80.3","7.8",20241015,11.1,"-8531983.6738","4771417.5361","2662","Baltimore City                                    ","30.185","1400 W COLD SPRING LANE","BALTIMORE","MD","21209","9-12","High","ZCTA5 21209","B19301_001",51800,5610
"36","Baltimore School for the Arts","English",61.6,2023,30,"Baltimore City",415," English Language Arts All Grades","All Students","117","81",69.2,"<= 5.0","29.9","63.2","6.0",20241015,7.6,"-8529010.4854","4764468.4427","2667","Baltimore City                                    ","30.178","712 CATHEDRAL ST","BALTIMORE","MD","21202","9-12","High","ZCTA5 21202","B19301_001",43816,3844
"37","Bannockburn Elementary","English",90.5883928571428,2023,15,"Montgomery",420," English Language Arts All Grades","All Students","222","194",87.4,"<= 5.0","12.6","62.2","25.2",20241015,-3.18839285714284,"-8586989.1356","4718030.6957","2103","Montgomery                                        ","15.204","6520 DALROY LANE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
"38","Barack Obama Elementary","English",32.2522666666667,2023,16,"Prince George's",1518," English Language Arts All Grades","All Students","386","156",40.4,"10.6","49.0","37.8","<= 5.0",20241015,8.14773333333333,"-8547791.5223","4697943.5065","2333","Prince George's                                   ","16.235","12700 BROOKE LN","UPPER MARLBORO","MD","20772","PreK-5","Elementary","ZCTA5 20772","B19301_001",58867,2445
"39","Barnaby Manor Elementary","English",9.32487046632124,2023,16,"Prince George's",1219," English Language Arts All Grades","All Students","191","41",21.5,"23.0","55.5","21.5","<= 5.0",20241015,12.1751295336788,"-8567725.1334","4695436.9972","2011","Prince George's                                   ","16.123","2411 OWENS ROAD","OXON HILL","MD","20745","PreK-5","Elementary","ZCTA5 20745","B19301_001",41479,2976
"40","Barstow Elementary","English",39.8729537366548,2023,4,"Calvert",208," English Language Arts All Grades","All Students","332","155",46.7,"5.7","47.6","41.9","<= 5.0",20241015,6.8270462633452,"-8528183.9633","4656104.0951","2233","Calvert                                           ","04.028","295 WILLIAMS ROAD","PRINCE FREDERICK","MD","20678","PreK-5","Elementary","ZCTA5 20678","B19301_001",52586,3859
"41","Battle Grove Elementary","English",14.2741496598639,2023,3,"Baltimore County",1517," English Language Arts All Grades","All Students","145","38",26.2,"15.9","57.9","25.5","<= 5.0",20241015,11.9258503401361,"-8513135.2105","4760236.8659","1605","Baltimore County                                  ","03.116","7828 ST PATRICIA LANE","BALTIMORE","MD","21222","PreK-5","Elementary","ZCTA5 21222","B19301_001",30695,2017
