"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"231","Dundalk Elementary","Math",11.4422287390029,2023,3,"Baltimore County",1202," Mathematics All Grades","All Students","340","24",7.1,"51.2","41.8","7.1","<= 5.0",20241015,-4.34222873900293,"-8517981.8018","4758827.4788","1484","Baltimore County                                  ","03.052","2717 SOUTH PLAYFIELD STREET","BALTIMORE","MD","21222","PreK-5","Elementary","ZCTA5 21222","B19301_001",30695,2017
"232","Dundalk Middle","Math",17.7,2023,3,"Baltimore County",1251," Mathematics All Grades","All Students","821","*",5,"76.4","22.2","<= 5.0","<= 5.0",20241015,-12.7,"-8517465.0941","4758913.9957","1494","Baltimore County                                  ","03.041","7400 DUNMANWAY","BALTIMORE","MD","21222","6-8","Middle","ZCTA5 21222","B19301_001",30695,2017
"233","Dunloggin Middle","Math",52.6579567779961,2023,13,"Howard",211," Mathematics All Grades","All Students","603","261",43.3,"16.9","39.8","39.5","<= 5.0",20241015,-9.35795677799608,"-8552898.6683","4758471.9793","1817","Howard                                            ","13.001","9129 NORTHFIELD ROAD","ELLICOTT CITY","MD","21042","6-8","Middle","ZCTA5 21042","B19301_001",77562,3782
"234","Dwight D. Eisenhower Middle","Math",8.87955555555556,2023,16,"Prince George's",1010," Mathematics All Grades","All Students","1022","*",5,"62.4","34.1","<= 5.0","<= 5.0",20241015,-3.87955555555556,"-8555324.99","4733004.4976","2066","Prince George's                                   ","16.008","13725 BRIARWOOD DRIVE","LAUREL","MD","20708","6-8","Middle","ZCTA5 20708","B19301_001",41425,2886
"235","Dynard Elementary","Math",45.8606986899563,2023,18,"Saint Mary's",702," Mathematics All Grades","All Students","184","74",40.2,"13.0","46.7","38.6","<= 5.0",20241015,-5.66069868995633,"-8544753.4746","4623794.2226","1959","St. Mary's                                        ","18.024","23510 BUSHWOOD ROAD","CHAPTICO","MD","20621","PreK-5","Elementary","ZCTA5 20621","B19301_001",60510,13023
"236","E. Russell Hicks Middle","Math",34.4321652065081,2023,21,"Washington",304," Mathematics All Grades","All Students","814","131",16.1,"38.1","45.8","15.7","<= 5.0",20241015,-18.3321652065081,"-8653179.4557","4810146.3182","1408","Washington                                        ","21.038","1321 SOUTH POTOMAC STREET","HAGERSTOWN","MD","21740","6-8","Middle","ZCTA5 21740","B19301_001",32289,1866
"237","East Salisbury Elementary","Math",30.2639658848614,2023,22,"Wicomico",512," Mathematics All Grades","All Students","414","47",11.4,"32.1","56.5","11.4","<= 5.0",20241015,-18.8639658848614,"-8412910.4575","4632414.1221","1399","Wicomico                                          ","22.003","1201 OCEAN CITY ROAD","SALISBURY","MD","21804","3-5","Elementary","ZCTA5 21804","B19301_001",33932,2432
"238","East Silver Spring Elementary","Math",43.0072463768116,2023,15,"Montgomery",756," Mathematics All Grades","All Students","216","103",47.7,"16.7","35.6","41.7","6.0",20241015,4.69275362318841,"-8573289.6863","4720595.273","2168","Montgomery                                        ","15.108","631 SILVER SPRING AVENUE","SILVER SPRING","MD","20910","HS-5","Elementary","ZCTA5 20910","B19301_001",69167,3411
"239","Eastern Elementary","Math",30.4072429906542,2023,21,"Washington",1002," Mathematics All Grades","All Students","428","108",25.2,"32.0","42.8","24.1","<= 5.0",20241015,-5.2072429906542,"-8648724.9079","4811556.0532","1415","Washington                                        ","21.045","1320 YALE DRIVE","HAGERSTOWN","MD","21741","3-5","Elementary",NA,NA,NA,NA
"240","Eastern Middle","Math",40.1697003329634,2023,15,"Montgomery",775," Mathematics All Grades","All Students","882","245",27.8,"36.5","35.7","24.5","<= 5.0",20241015,-12.3697003329634,"-8571706.2389","4723389.5044","2208","Montgomery                                        ","15.037","300 UNIV BLVD EAST","SILVER SPRING","MD","20901","6-8","Middle","ZCTA5 20901","B19301_001",58121,2624
