"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"184","Col. Zadok Magruder High","Math",7.84117647058824,2023,15,"Montgomery",510," Mathematics All Grades","All Students","238","*",5,"45.0","52.9","<= 5.0","<= 5.0",20241015,-2.84117647058824,"-8584770.404","4740509.0115","2205","Montgomery                                        ","15.045","5939 MUNCASTER MILL RD","ROCKVILLE","MD","20855","9-12","High","ZCTA5 20855","B19301_001",66362,4658
"185","Cold Spring Elementary","Math",75.8033049040512,2023,15,"Montgomery",238," Mathematics All Grades","All Students","234","192",82.1,"<= 5.0","15.8","61.1","20.9",20241015,6.29669509594882,"-8592617.8806","4730153.5254","2220","Montgomery                                        ","15.007","9201 FALLS CHAPEL WAY","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
"186","Colgate Elementary","Math",9.19978118161926,2023,3,"Baltimore County",1503," Mathematics All Grades","All Students","231","28",12.1,"39.8","48.1","11.7","<= 5.0",20241015,2.90021881838074,"-8517981.1554","4763943.2146","1575","Baltimore County                                  ","03.151","401 51ST STREET","BALTIMORE","MD","21224","K-5","Elementary","ZCTA5 21224","B19301_001",51670,2510
"187","College Gardens Elementary","Math",35.0310577644411,2023,15,"Montgomery",229," Mathematics All Grades","All Students","231","127",55,"11.7","33.3","44.6","10.4",20241015,19.9689422355589,"-8589740.7205","4736415.9001","2088","Montgomery                                        ","15.240","1700 YALE PLACE","ROCKVILLE","MD","20850","HS-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
"188","Columbia Park Elementary","Math",10.2134663341646,2023,16,"Prince George's",1302," Mathematics All Grades","All Students","276","26",9.4,"48.9","41.7","9.1","<= 5.0",20241015,-0.813466334164589,"-8559095.7273","4709728.7445","1992","Prince George's                                   ","16.147","1901 KENT VILLAGE DRIVE","LANDOVER","MD","20785","PreK-6","Elementary","ZCTA5 20785","B19301_001",36991,2470
"189","Concord Elementary","Math",7.68730769230769,2023,16,"Prince George's",647," Mathematics All Grades","All Students","153","10",6.5,"34.0","59.5","6.5","<= 5.0",20241015,-1.18730769230769,"-8561338.8689","4702100.1741","1926","Prince George's                                   ","16.237","2004 CONCORD LANE","DISTRICT HEIGHTS","MD","20747","PreK-6","Elementary","ZCTA5 20747","B19301_001",38921,2062
"190","Conowingo Elementary","Math",27.6452076677316,2023,7,"Cecil",801," Mathematics All Grades","All Students","195","48",24.6,"20.5","54.9","24.6","<= 5.0",20241015,-3.04520766773163,"-8477928.5495","4818704.6795","1661","Cecil                                             ","07.019","471 ROWLANDSVILLE RD","CONOWINGO","MD","21918","PreK-5","Elementary","ZCTA5 21918","B19301_001",40778,5296
"191","Cool Spring Elementary","Math",5.85348837209302,2023,16,"Prince George's",1725," Mathematics All Grades","All Students","407","*",5,"60.2","35.9","<= 5.0","<= 5.0",20241015,-0.853488372093024,"-8568687.1624","4721980.5448","2000","Prince George's                                   ","16.134","8910 RIGGS ROAD","ADELPHI","MD","20783","PreK-6","Elementary","ZCTA5 20783","B19301_001",28657,1696
"192","Cooper Lane Elementary","Math",8.1227027027027,2023,16,"Prince George's",213," Mathematics All Grades","All Students","251","22",8.8,"50.2","41.0","8.4","<= 5.0",20241015,0.677297297297297,"-8560499.6185","4713006.5834","1998","Prince George's                                   ","16.131","3817 COOPER LANE","LANDOVER HILLS","MD","20784","PreK-6","Elementary","ZCTA5 20784","B19301_001",36834,4454
"193","Cora L. Rice Elementary","Math",5.6561797752809,2023,16,"Prince George's",1347," Mathematics All Grades","All Students","243","16",6.6,"57.6","35.8","6.6","<= 5.0",20241015,0.943820224719101,"-8557758.4729","4707849.821","2426","Prince George's                                   ","16.054","950 NALLEY ROAD","LANDOVER","MD","20785","PreK-5","Elementary","ZCTA5 20785","B19301_001",36991,2470
"194","Cranberry Station Elementary","Math",31.5052750565185,2023,6,"Carroll",715," Mathematics All Grades","All Students","283","121",42.8,"8.1","49.1","41.0","<= 5.0",20241015,11.2947249434815,"-8569138.3342","4804191.5752","1670","Carroll                                           ","06.046","505 NORTH CENTER ST","WESTMINSTER","MD","21157","PreK-5","Elementary","ZCTA5 21157","B19301_001",46732,2403
"195","Crellin Elementary","Math",16.6870967741935,2023,11,"Garrett",1408," Mathematics All Grades","All Students","70","24",34.3,"8.6","57.1","32.9","<= 5.0",20241015,17.6129032258064,"-8846051.8918","4777813.6812","1594","Garrett                                           ","11.012","115 KENDALL DRIVE","OAKLAND","MD","21550","K-5","Elementary","ZCTA5 21550","B19301_001",41945,6856
"196","Cresaptown Elementary","Math",14.6244471744472,2023,1,"Allegany",701," Mathematics All Grades","All Students","137","58",42.3,"13.1","44.5","38.7","<= 5.0",20241015,27.6755528255528,"-8775485.7447","4806496.5122","2474","Allegany                                          ","01.032","13202 SIXTH AVENUE","CRESAPTOWN","MD","21502","PreK-5","Elementary","ZCTA5 21502","B19301_001",30485,1296
"197","Cresthaven Elementary","Math",10.1688912429379,2023,15,"Montgomery",808," Mathematics All Grades","All Students","476","83",17.4,"28.4","54.2","16.4","<= 5.0",20241015,7.23110875706215,"-8570324.4674","4725636.9366","2110","Montgomery                                        ","15.201","1234 CRESTHAVEN DR","SILVER SPRING","MD","20903","3-5","Elementary","ZCTA5 20903","B19301_001",28359,2169
"198","Crestwood Middle","Math",8.72684323550465,2023,10,"Frederick",227," Mathematics All Grades","All Students","712","86",12.1,"41.6","46.3","11.8","<= 5.0",20241015,3.37315676449535,"-8618653.8492","4778197.7223","2265","Frederick                                         ","10.069","7100 FOXCROFT DRIVE","FREDERICK","MD","21703","6-8","Middle","ZCTA5 21703","B19301_001",44225,2427
"199","Crofton Elementary","Math",30.5820109439125,2023,2,"Anne Arundel",3072," Mathematics All Grades","All Students","335","168",50.1,"6.3","43.6","44.8","5.4",20241015,19.5179890560876,"-8536905.1523","4723615.7756","2570","Anne Arundel                                      ","02.041","1405 DUKE OF KENT DRIVE","CROFTON","MD","21114","K-5","Elementary","ZCTA5 21114","B19301_001",60928,4149
"200","Crofton Meadows Elementary","Math",34.3081171548117,2023,2,"Anne Arundel",3362," Mathematics All Grades","All Students","279","116",41.6,"11.5","47.0","39.8","<= 5.0",20241015,7.29188284518829,"-8534869.2736","4724009.5091","2374","Anne Arundel                                      ","02.045","2020 TILGHMAN DRIVE","CROFTON","MD","21114","K-5","Elementary","ZCTA5 21114","B19301_001",60928,4149
