"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"481","Lakewood Elementary","English",59.1921282798834,2023,15,"Montgomery",209," English Language Arts All Grades","All Students","208","156",75,"<= 5.0","22.6","63.5","11.5",20241015,15.8078717201166,"-8593154.3455","4734209.5773","2070","Montgomery                                        ","15.257","2534 LINDLEY TERRACE","ROCKVILLE","MD","20850","K-5","Elementary","ZCTA5 20850","B19301_001",67423,3080
"482","Lamont Elementary","English",8.66684250188395,2023,16,"Prince George's",2014," English Language Arts All Grades","All Students","199","59",29.6,"14.1","56.3","25.6","<= 5.0",20241015,20.9331574981161,"-8558619.7442","4718004.9831","1945","Prince George's                                   ","16.241","7101 GOOD LUCK ROAD","NEW CARROLLTON","MD","20784","PreK-5","Elementary","ZCTA5 20784","B19301_001",36834,4454
"483","Lansdowne Elementary","English",10.4096302003082,2023,3,"Baltimore County",1311," English Language Arts All Grades","All Students","271","52",19.2,"21.4","59.4","18.8","<= 5.0",20241015,8.79036979969183,"-8533354.1051","4757559.3136","1616","Baltimore County                                  ","03.105","2301 ALMA ROAD","BALTIMORE","MD","21227","PreK-5","Elementary","ZCTA5 21227","B19301_001",39846,2966
"484","Lansdowne High","English",39.6142718446602,2023,3,"Baltimore County",1371," English Language Arts All Grades","All Students","405","114",28.1,"15.8","56.0","26.7","<= 5.0",20241015,-11.5142718446602,"-8532715.7837","4756797.5097","1578","Baltimore County                                  ","03.149","3800 HOLLINS FERRY ROAD","BALTIMORE","MD","21227","9-12","High","ZCTA5 21227","B19301_001",39846,2966
"485","Lansdowne Middle","English",18.9512963790791,2023,3,"Baltimore County",1351," English Language Arts All Grades","All Students","784","66",8.4,"30.5","61.1","8.3","<= 5.0",20241015,-10.5512963790791,"-8532867.1147","4757539.0398","2709","Baltimore County                                  ","03.084","2400 LANSDOWNE ROAD","BALTIMORE","MD","21227","6-8","Middle","ZCTA5 21227","B19301_001",39846,2966
"486","Largo High","English",42.7354804079442,2023,16,"Prince George's",1314," English Language Arts All Grades","All Students","237","114",48.1,"<= 5.0","47.3","46.4","<= 5.0",20241015,5.36451959205583,"-8551540.1585","4705461.7133","2319","Prince George's                                   ","16.011","505 LARGO ROAD","UPPER MARLBORO","MD","20774","9-12","High","ZCTA5 20774","B19301_001",60028,2920
"487","Laurel Elementary","English",9.7965210355987,2023,16,"Prince George's",1001," English Language Arts All Grades","All Students","256","102",39.8,"12.1","48.0","37.9","<= 5.0",20241015,30.0034789644013,"-8555180.3387","4736708.913","2059","Prince George's                                   ","16.009","516 MONTGOMERY STREET","LAUREL","MD","20707","PreK-5","Elementary","ZCTA5 20707","B19301_001",49777,2507
"488","Laurel High","English",42.0745631856969,2023,16,"Prince George's",1008," English Language Arts All Grades","All Students","498","219",44,"<= 5.0","51.2","41.2","<= 5.0",20241015,1.92543681430313,"-8556902.6528","4735197.4671","2061","Prince George's                                   ","16.014","8000 CHERRY LANE","LAUREL","MD","20707","9-12","High","ZCTA5 20707","B19301_001",49777,2507
"489","Laurel Woods Elementary","English",21.331013363029,2023,13,"Howard",618," English Language Arts All Grades","All Students","266","100",37.6,"10.5","51.9","36.8","<= 5.0",20241015,16.268986636971,"-8554017.1894","4738537.7756","1824","Howard                                            ","13.065","9250 N. LAUREL ROAD","LAUREL","MD","20723","PreK-5","Elementary","ZCTA5 20723","B19301_001",58525,3900
"490","Laytonsville Elementary","English",36.3915373765867,2023,15,"Montgomery",51," English Language Arts All Grades","All Students","147","82",55.8,"6.1","38.1","53.7","<= 5.0",20241015,19.4084626234133,"-8587230.5442","4751352.7967","2097","Montgomery                                        ","15.221","21401 LAYTONSVILLE ROAD","GAITHERSBURG","MD","20882","K-5","Elementary","ZCTA5 20882","B19301_001",79340,7677
"491","Leeds Elementary","English",10.272305764411,2023,7,"Cecil",315," English Language Arts All Grades","All Students","153","62",40.5,"6.5","52.9","37.9","<= 5.0",20241015,30.227694235589,"-8448313.3395","4814747.6136","1592","Cecil                                             ","07.041","615 DEAVER RD","ELKTON","MD","21921","PreK-5","Elementary","ZCTA5 21921","B19301_001",40036,2700
"492","Leonardtown Elementary","English",31.7476056338028,2023,18,"Saint Mary's",301," English Language Arts All Grades","All Students","217","134",61.8,"6.5","31.8","56.7","5.1",20241015,30.0523943661972,"-8531456.7599","4621406.4359","1901","St. Mary's                                        ","18.008","22885 DUKE STREET","LEONARDTOWN","MD","20650","PreK-5","Elementary","ZCTA5 20650","B19301_001",54721,4307
"493","Leonardtown High","English",65.1936377245509,2023,18,"Saint Mary's",306," English Language Arts All Grades","All Students","554","442",79.8,"<= 5.0","19.1","60.3","19.5",20241015,14.6063622754491,"-8528340.4013","4617626.568","1898","St. Mary's                                        ","18.004","23995 POINT LOOKOUT ROAD","LEONARDTOWN","MD","20650","9-12","High","ZCTA5 20650","B19301_001",54721,4307
"494","Leonardtown Middle","English",47.5327566539924,2023,18,"Saint Mary's",305," English Language Arts All Grades","All Students","932","591",63.4,"<= 5.0","33.6","57.4","6.0",20241015,15.8672433460076,"-8528445.7706","4618199.6417","2446","St. Mary's                                        ","18.001","24015 POINT LOOKOUT ROAD","LEONARDTOWN","MD","20650","6-8","Middle","ZCTA5 20650","B19301_001",54721,4307
"495","Lewisdale Elementary","English",8.57756059421423,2023,16,"Prince George's",1712," English Language Arts All Grades","All Students","271","71",26.2,"18.5","55.4","24.4","<= 5.0",20241015,17.6224394057858,"-8568063.5709","4718111.5439","2300","Prince George's                                   ","16.049","2400 BANNING PLACE","HYATTSVILLE","MD","20783","PreK-5","Elementary","ZCTA5 20783","B19301_001",28657,1696
"496","Lewistown Elementary","English",22.8799373040752,2023,10,"Frederick",2001," English Language Arts All Grades","All Students","77","32",41.6,"<= 5.0","54.5","35.1","6.5",20241015,18.7200626959248,"-8617847.4603","4799236.9703","1736","Frederick                                         ","10.060","11119 HESSONG BRIDGE RD","THURMONT","MD","21788","PreK-5","Elementary","ZCTA5 21788","B19301_001",50992,4758
"497","Lexington Park Elementary","English",29.655399408284,2023,18,"Saint Mary's",804," English Language Arts All Grades","All Students","188","51",27.1,"25.0","47.9","26.6","<= 5.0",20241015,-2.55539940828402,"-8511243.8226","4616222.7386","1459","St. Mary's                                        ","18.021","46763 SHANGRI-LA DRIVE","LEXINGTON PARK","MD","20653","PreK-5","Elementary","ZCTA5 20653","B19301_001",48024,4070
"498","Liberty Elementary","English",14.3845890410959,2023,10,"Frederick",801," English Language Arts All Grades","All Students","109","47",43.1,"5.5","51.4","41.3","<= 5.0",20241015,28.7154109589041,"-8599787.7476","4791198.5535","1761","Frederick                                         ","10.035","11820 LIBERTY RD","FREDERICK","MD","21701","PreK-5","Elementary","ZCTA5 21701","B19301_001",56512,2331
"499","Liberty Elementary","English",14.3845890410959,2023,30,"Baltimore City",64," English Language Arts All Grades","All Students","130","23",17.7,"20.0","62.3","16.9","<= 5.0",20241015,3.31541095890411,"-8599787.7476","4791198.5535","1761","Frederick                                         ","10.035","11820 LIBERTY RD","FREDERICK","MD","21701","PreK-5","Elementary","ZCTA5 21701","B19301_001",56512,2331
"500","Liberty High","English",60.5138330757342,2023,6,"Carroll",507," English Language Arts All Grades","All Students","257","208",80.9,"<= 5.0","18.3","59.1","21.8",20241015,20.3861669242659,"-8566344.7324","4781046.8547","1690","Carroll                                           ","06.019","5855 BARTHOLOW RD","SYKESVILLE","MD","21784","9-12","High","ZCTA5 21784","B19301_001",57412,2069
"501","Lime Kiln Middle","English",62.6471156944892,2023,13,"Howard",526," English Language Arts All Grades","All Students","647","498",77,"<= 5.0","19.0","66.0","11.0",20241015,14.3528843055108,"-8562224.1057","4743811.5752","2357","Howard                                            ","13.070","11650 SCAGGSVILLE ROAD","FULTON","MD","20759","6-8","Middle","ZCTA5 20759","B19301_001",98294,13207
"502","Lincoln Elementary","English",15.6162145871007,2023,10,"Frederick",204," English Language Arts All Grades","All Students","253","94",37.2,"12.6","50.2","34.0","<= 5.0",20241015,21.5837854128993,"-8617784.2436","4780281.211","2355","Frederick                                         ","10.004","200 MADISON STREET","FREDERICK","MD","21701","PreK-5","Elementary","ZCTA5 21701","B19301_001",56512,2331
"503","Lincolnshire Elementary","English",15.1315227934045,2023,21,"Washington",2601," English Language Arts All Grades","All Students","220","89",40.5,"10.5","49.1","38.6","<= 5.0",20241015,25.3684772065955,"-8656090.6009","4810578.5311","2329","Washington                                        ","21.037","17545 LINCOLNSHIRE ROAD","HAGERSTOWN","MD","21740","PreK-5","Elementary","ZCTA5 21740","B19301_001",32289,1866
"504","Lindale Middle","English",34.9923261802575,2023,2,"Anne Arundel",1053," English Language Arts All Grades","All Students","1145","400",34.9,"13.8","51.3","33.5","<= 5.0",20241015,-0.0923261802575084,"-8533965.825","4749783.4681","2452","Anne Arundel                                      ","02.127","415 ANDOVER ROAD","LINTHICUM","MD","21090","6-8","Middle","ZCTA5 21090","B19301_001",52345,3324
"505","Linganore High","English",68.8120221606648,2023,10,"Frederick",912," English Language Arts All Grades","All Students","440","332",75.5,"<= 5.0","24.1","57.3","18.2",20241015,6.68797783933518,"-8599131.4057","4783873.7502","1770","Frederick                                         ","10.017","12013 OLD ANNAPOLIS RD","FREDERICK","MD","21701","9-12","High","ZCTA5 21701","B19301_001",56512,2331
"506","Linthicum Elementary","English",26.9969199178645,2023,2,"Anne Arundel",1152," English Language Arts All Grades","All Students","206","117",56.8,"7.8","35.4","50.5","6.3",20241015,29.8030800821355,"-8532980.6639","4750712.1602","2594","Anne Arundel                                      ","02.008","101 SCHOOL LANE","LINTHICUM","MD","21090","K-5","Elementary","ZCTA5 21090","B19301_001",52345,3324
"507","Linton Springs Elementary","English",45.0449163449163,2023,6,"Carroll",503," English Language Arts All Grades","All Students","345","250",72.5,"<= 5.0","24.6","58.8","13.6",20241015,27.4550836550837,"-8570167.8086","4782475.4399","2398","Carroll                                           ","06.045","375 RONSDALE RD","SYKESVILLE","MD","21784","PreK-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
"508","Lisbon Elementary","English",38.7651376146789,2023,13,"Howard",407," English Language Arts All Grades","All Students","233","170",73,"<= 5.0","24.9","59.7","13.3",20241015,34.2348623853211,"-8579290.9404","4769599.7394","1811","Howard                                            ","13.004","15901 FREDERICK ROAD","WOODBINE","MD","21797","K-5","Elementary","ZCTA5 21797","B19301_001",71685,8671
"509","Little Bennett Elementary","English",36.5495867768595,2023,15,"Montgomery",336," English Language Arts All Grades","All Students","325","195",60,"8.9","31.1","52.3","7.7",20241015,23.4504132231405,"-8602280.564","4756992.9936","1370","Montgomery                                        ","15.270","23930 BURDETTE FOREST ROAD","CLARKSBURG","MD","20871","K-5","Elementary","ZCTA5 20871","B19301_001",58295,3895
"510","Loch Raven High","English",49.0615062761506,2023,3,"Baltimore County",973," English Language Arts All Grades","All Students","260","87",33.5,"8.5","58.1","30.8","<= 5.0",20241015,-15.5615062761506,"-8523043.2412","4779833.9285","1563","Baltimore County                                  ","03.134","1212 COWPENS AVENUE","BALTIMORE","MD","21286","9-12","High","ZCTA5 21286","B19301_001",55193,4164
"511","Loch Raven Technical Academy","English",31.7857753705815,2023,3,"Baltimore County",954," English Language Arts All Grades","All Students","645","161",25,"19.7","55.3","24.0","<= 5.0",20241015,-6.78577537058153,"-8524641.5976","4777713.3803","1564","Baltimore County                                  ","03.154","8101 LASALLE ROAD","BALTIMORE","MD","21286","6-8","Middle","ZCTA5 21286","B19301_001",55193,4164
"512","Logan Elementary","English",12.9539156626506,2023,3,"Baltimore County",1217," English Language Arts All Grades","All Students","207","59",28.5,"14.0","57.5","28.0","<= 5.0",20241015,15.5460843373494,"-8517089.0971","4758634.6942","1610","Baltimore County                                  ","03.110","7601 DUNMANWAY","BALTIMORE","MD","21222","PreK-5","Elementary","ZCTA5 21222","B19301_001",30695,2017
"513","Lois P. Rockwell Elementary","English",33.3989226248776,2023,15,"Montgomery",156," English Language Arts All Grades","All Students","221","141",63.8,"5.4","30.8","59.7","<= 5.0",20241015,30.4010773751224,"-8595435.4109","4758463.4783","2122","Montgomery                                        ","15.173","24555 CUTSAIL DRIVE","DAMASCUS","MD","20872","K-5","Elementary","ZCTA5 20872","B19301_001",56640,4314
"514","Long Reach High","English",45.7593854748603,2023,13,"Howard",623," English Language Arts All Grades","All Students","438","227",51.8,"<= 5.0","44.5","43.2","8.7",20241015,6.04061452513966,"-8550583.9573","4751200.8792","1840","Howard                                            ","13.055","6101 OLD DOBBIN LANE","COLUMBIA","MD","21045","9-12","High","ZCTA5 21045","B19301_001",53227,3009
"515","Longfellow Elementary","English",23.3149093904448,2023,13,"Howard",514," English Language Arts All Grades","All Students","224","83",37.1,"12.1","50.9","35.7","<= 5.0",20241015,13.7850906095552,"-8558414.7469","4754176.0313","1829","Howard                                            ","13.056","5470 HESPERUS DR","COLUMBIA","MD","21044","PreK-5","Elementary","ZCTA5 21044","B19301_001",67519,4010
"516","Longfields Elementary","English",24.6364661654135,2023,16,"Prince George's",618," English Language Arts All Grades","All Students","172","80",46.5,"14.0","39.5","32.0","14.5",20241015,21.8635338345865,"-8558290.5114","4699470.701","1922","Prince George's                                   ","16.242","3300 NEWKIRK AVENUE","FORESTVILLE","MD","20747","PreK-6","Elementary","ZCTA5 20747","B19301_001",38921,2062
