X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8446429.1692,4662323.9103,2242,Dorchester                                        ,09.019,North Dorchester Middle                                     ,5745 CLOVERDALE ROAD,HURLOCK,MD,21643,6-8,Middle
-8562176.6932,4744013.2326,2243,Howard                                            ,13.088,Cedar Lane School                                           ,11630 SCAGGSVILLE ROAD,FULTON,MD,20759,PreK-12,Special Ed.
-8569776.1371,4756243.7652,2244,Howard                                            ,13.083,Dayton Oaks Elementary                                      ,4691 TEN OAKS ROAD,DAYTON,MD,21036,PreK-5,Elementary
-8550777.12,4758137.1409,2245,Howard                                            ,13.084,Veterans Elementary                                         ,4355 MONTGOMERY ROAD,ELLICOTT CITY,MD,21043,PreK-5,Elementary
-8600609.0928,4751151.7477,2246,Montgomery                                        ,15.273,"Gibbs, Jr. (William B.) Elementary School                   ",12615 ROYAL CROWN DR,GERMANTOWN,MD,20876,PreK-5,Elementary
-8517780.6279,4719016.1655,2247,Anne Arundel                                      ,02.132,Germantown Elementary                                       ,200 WINDELL AVENUE,ANNAPOLIS,MD,21401,PreK-5,Elementary
-8567585.9888,4716488.9503,2248,Prince George's                                   ,16.259,Edward M. Felegy Elementary,6110 EDITORS PARK DRIVE,HYATTSVILLE,MD,20782,PreK-5,Elementary
-8530879.235,4779744.851,2249,Baltimore County                                  ,03.215,West Towson Elementary                                      ,6914 CHARLES STREET,TOWSON,MD,21204,K-5,Elementary
-8470318.9788,4656559.5366,2250,Dorchester                                        ,09.018,Dorchester Career & Technology Center,2465 CAMBRIDGE BELTWAY,CAMBRIDGE,MD,21613,10-12,Career Tech
-8648489.8454,4811325.1387,2251,Washington                                        ,21.052,Ruth Ann Monroe Primary                                     ,1311 YALE DRIVE,HAGERSTOWN,MD,21740,PreK-2,Elementary
-8560812.5532,4721640.0948,2252,Prince George's                                   ,16.256,Greenbelt Middle                                            ,6301 BREEZEWOOD DRIVE,GREENBELT,MD,20770,6-8,Middle
-8443874.7528,4747856.6382,2253,Queen Anne's                                      ,17.026,New Sudlersville Middle                                     ,600 CHARLES STREET,SUDLERSVILLE,MD,21668,5-8,Middle
-8503244.2804,4800004.534,2254,Harford                                           ,12.059,Red Pump Elementary                                         ,600 RED PUMP RD,BEL AIR,MD,21014,K-5,Elementary
-8617909.6954,4780325.9874,2255,Frederick                                         ,10.074,Earth and Space Sciences Lab (ESSL)                         ,210 MADISON ST,FREDERICK,MD,21701,,Science
-8534621.8768,4771599.2314,2256,Baltimore City                                    ,30.251,Pimlico # 223,4849 PIMLICO RD,BALTIMORE,MD,21215,PreK-8,PreK-8
-8535608.9974,4766037.9165,2257,Baltimore City                                    ,30.262,Edgewood PK-5 # 067                                         ,1900 EDGEWOOD STREET,BALTIMORE,MD,21216,PreK-5,Elementary
-8531576.8839,4765650.6805,2258,Baltimore City                                    ,30.056,George G. Kelson Building # 157                             ,701 GOLD ST,BALTIMORE,MD,21217,PreK-8,PreK-8
-8567010.2296,4723302.8964,2259,Prince George's                                   ,16.267,Cherokee Lane Elementary,2617 BUCK LODGE ROAD,HYATTSVILLE,MD,20783,PreK-6,Elementary
-8608784.3658,4769756.1883,2260,Frederick                                         ,10.071,Centerville Elementary                                      ,3601 CARRIAGE HILL DRIVE,FREDERICK,MD,21704,K-5,Elementary
-8621241.5851,4775956.3823,2261,Frederick                                         ,10.068,Tuscarora High                                              ,5312 BALLENGER CREEK PIKE,FREDERICK,MD,21703,9-12,High
-8564281.6348,4767871.2949,2262,Howard                                            ,13.082,Marriotts Ridge High                                        ,12100 WOODFORD DRIVE,MARRIOTSVILLE,MD,21104,9-12,High
-8651840.9932,4814016.6759,2263,Washington                                        ,21.053,Barbara Ingram School for the Arts/Vincent Rauth Groh Academ,7-11 SOUTH POTOMAC STREET,HAGERSTOWN,MD,21740,9-12,High
-8620994.3901,4774838.2204,2264,Frederick                                         ,10.070,Tuscarora Elementary                                        ,6321 LAMBERT DRIVE,FREDERICK,MD,21703,PreK-5,Elementary
-8618653.8492,4778197.7223,2265,Frederick                                         ,10.069,Crestwood Middle                                            ,7100 FOXCROFT DRIVE,FREDERICK,MD,21703,6-8,Middle
-8527012.4133,4768339.734,2266,Baltimore City                                    ,30.224,Abbottston Building # 050                                   ,1300 GORSUCH AVENUE,BALTIMORE,MD,21218,PreK-5,Elementary
-8521802.0169,4765418.8827,2267,Baltimore City                                    ,30.186,Armistead Gardens PK-8 # 243                                ,5001 E EAGER ST,BALTIMORE,MD,21205,PreK-8,PreK-8
-8531075.219,4761835.3334,2268,Baltimore City                                    ,30.018,Charles Carroll Barrister Elementary # 034                  ,1327 WASHINGTON BOULEVARD,BALTIMORE,MD,21230,PreK-5,Elementary
-8531356.2676,4762105.6463,2269,Baltimore City                                    ,30.249,Diggs-Johnson Building # 162                                ,1300 HERKIMER ST,BALTIMORE,MD,21223,K-8,PreK-8
-8526834.1487,4764294.0975,2270,Baltimore City                                    ,30.147,Paul Laurence Dunbar Middle Building #133                   ,540 N CAROLINE ST,BALTIMORE,MD,21205,6-12,Middle/High
-8530406.0609,4765676.2696,2271,Baltimore City                                    ,30.267,Eutaw Marshburn Elementary # 011                            ,1624 EUTAW PLACE,BALTIMORE,MD,21217,PreK-5,Elementary
-8543065.1394,4713117.0396,2272,Prince George's                                   ,16.250,Northview Elementary                                        ,3700 NORTHVIEW DRIVE,BOWIE,MD,20716,PreK-5,Elementary
-8587769.3982,4728436.6748,2273,Montgomery                                        ,15.242,Farmland Elementary                                         ,7000 OLD GATE RD,ROCKVILLE,MD,20853,K-5,Elementary
-8561281.8628,4706950.4283,2274,Prince George's                                   ,16.252,Seat Pleasant Elementary                                    ,6411 G STREET,SEAT PLEASANT,MD,20743-1714,PreK-6,Elementary
-8579470.151,4731035.5582,2275,Montgomery                                        ,15.268,Loiederman (A. Mario) Middle                                ,12701 GOODHILL ROAD,SILVER SPRING,MD,20906,6-8,Middle
-8598315.4293,4755023.332,2276,Montgomery                                        ,15.276,Wells (Hallie) Middle                                       ,11701 LITTLE SENECA PKWY,CLARKSBURG,MD,20871,6-8,Middle
-8569049.3246,4803824.1902,2277,Carroll                                           ,06.052,Winters Mill High                                           ,560 GORSUCH ROAD,WESTMINSTER,MD,21157,9-12,High
-8570269.9739,4724236.6143,2278,Montgomery                                        ,15.271,Roscoe Nix Elementary                                       ,1100 CORLISS STREET,SILVER SPRING,MD,20903,PreK-2,Elementary
-8543946.1844,4720147.6756,2279,Prince George's                                   ,16.249,Whitehall Elementary                                        ,3901 WOODHAVEN LANE,BOWIE,MD,20715,K-5,Elementary
-8550711.6006,4779610.6021,2280,Baltimore County                                  ,03.196,New Town High School                                        ,4931 NEW TOWN BOULEVARD,OWINGS MILLS,MD,21117,9-12,High
-8496425.8152,4794596.9373,2281,Harford                                           ,12.057,Patterson Mill Middle/High                                  ,85 PATTERSON MILL ROAD,BEL AIR,MD,21215,6-12,Middle/High
-8547837.9594,4750954.1306,2282,Howard                                            ,13.078,Bellows Spring Elementary                                   ,8125 OLD STOCKBRIDGE DRIVE,ELLICOTT CITY,MD,21043,PreK-5,Elementary
-8531283.445,4769132.6214,2283,Baltimore City                                    ,30.165,Robert Poole Building #056                                  ,1300 W. 36TH ST.,BALTIMORE,MD,21211,6-12,Middle/High
-8569226.2201,4670802.185,2284,Charles                                           ,08.044,Theodore G. Davis Middle School                             ,2495 DAVIS ROAD,WALDORF,MD,20603,6-8,Middle
-8784596.5173,4815272.8798,2285,Allegany                                          ,01.037,Mountain Ridge High                                         ,100 DR. NANCY S. GRASMICK LANE,FROSTBURG,MD,21532,9-12,High
-8579928.8298,4723967.7207,2286,Montgomery                                        ,15.278,Silver Creek Middle                                         ,3701 SAUL ROAD,KENSINGTON,MD,20895,,Middle
-8609059.0804,4768963.3008,2287,Frederick                                         ,10.076,Urbana Middle                                               ,3511 PONTIUS COURT,IJAMSVILLE,MD,21754,6-8,Middle
-8597491.6312,4738211.1789,2288,Montgomery                                        ,15.261,Lakelands Park Middle                                       ,1200 MAIN STREET,GAITHERSBURG,MD,20878,6-8,Middle
-8528136.6202,4667294.0993,2289,Calvert                                           ,04.026,Huntingtown High                                            ,4125 N. SOLOMONS ISLAND RD,HUNTINGTOWN,MD,20639,9-12,High
-8588007.8065,4776066.5063,2290,Carroll                                           ,06.053,Parr's Ridge Elementary                                     ,202 WATERSVILLE ROAD,MOUNT AIRY,MD,21771,PreK-2,Elementary
-8600915.6832,4753580.8379,2291,Montgomery                                        ,15.262,Rocky Hill Middle                                           ,22401 BRICK HAVEN WAY,CLARKSBURG,MD,20871,6-8,Middle
-8575512.8813,4658240.3823,2292,Charles                                           ,08.009,Maurice J. McDonough High                                   ,7165 MARSHALL CORNER ROAD,POMFRET,MD,20675,9-12,High
-8564334.1034,4729603.0344,2293,Prince George's                                   ,16.182,Calverton Elementary                                        ,3400 BELTSVILLE ROAD,BELTSVILLE,MD,20705,PreK-5,Elementary
-8569806.6341,4715580.3097,2294,Prince George's                                   ,16.090,Chillum Elementary                                          ,1420 CHILLUM ROAD,HYATTSVILLE,MD,20782,PreK-5,Elementary
-8553826.0454,4718736.2219,2295,Prince George's                                   ,16.203,Gaywood Elementary                                          ,6701 97TH AVENUE,SEABROOK,MD,20706,PreK-5,Elementary
-8561277.0166,4711734.9718,2296,Prince George's                                   ,16.107,Gladys Noon Spellman Elementary,3324 64TH AVENUE,CHEVERLY,MD,20785,PreK-6,Elementary
-8546309.2586,4719794.0945,2297,Prince George's                                   ,16.058,High Bridge Elementary                                      ,7011 HIGH BRIDGE ROAD,BOWIE,MD,20720,K-5,Elementary
-8555052.3867,4715772.1574,2298,Prince George's                                   ,16.154,James McHenry Elementary,8909 MCHENRY LANE,LANHAM,MD,20706,PreK-5,Elementary
-8548998.5714,4708540.1727,2299,Prince George's                                   ,16.133,Kingsford Elementary                                        ,1401 ENTERPRISE ROAD,MITCHELLVILLE,MD,20721,PreK-5,Elementary
-8568063.5709,4718111.5439,2300,Prince George's                                   ,16.049,Lewisdale Elementary                                        ,2400 BANNING PLACE,HYATTSVILLE,MD,20783,PreK-5,Elementary
-8548145.5646,4689133.3565,2301,Prince George's                                   ,16.004,Marlton Elementary                                          ,8506 OLD COLONY DRIVE SOUTH,UPPER MARLBORO,MD,20772,PreK-5,Elementary
-8553589.1126,4691776.5742,2302,Prince George's                                   ,16.168,Melwood Elementary                                          ,7100 WOODYARD ROAD,UPPER MARLBORO,MD,20772,K-5,Elementary
-8567472.9088,4712923.3399,2303,Prince George's                                   ,16.039,Mount Rainier Elementary                                    ,4011 32ND STREET,MT. RAINIER,MD,20712,PreK-6,Elementary
-8557530.1769,4701223.7777,2304,Prince George's                                   ,16.145,North Forestville Elementary                                ,2311 RITCHIE ROAD,FORESTVILLE,MD,20747,PreK-6,Elementary
-8568246.2077,4698109.5675,2305,Prince George's                                   ,16.230,Panorama Elementary                                         ,2002 CALLAWAY STREET,TEMPLE HILLS,MD,20748,PreK-6,Elementary
-8563654.0799,4716124.6952,2306,Prince George's                                   ,16.079,Riverdale Elementary                                        ,5006 RIVERDALE ROAD,RIVERDALE,MD,20737,PreK-5,Elementary
-8557732.038,4718252.6331,2307,Prince George's                                   ,16.112,Robert Frost Elementary                                     ,6419 85TH AVENUE,NEW CARROLLTON,MD,20784,K-5,Elementary
-8561878.9514,4713858.3475,2308,Prince George's                                   ,16.051,Rogers Heights Elementary                                   ,4301 58TH AVENUE,BLADENSBURG,MD,20710,PreK-6,Elementary
-8566190.0738,4694474.0607,2309,Prince George's                                   ,16.221,Samuel Chase Elementary                                     ,5700 FISHER ROAD,TEMPLE HILLS,MD,20748,PreK-5,Elementary
-8543810.423,4717154.9229,2310,Prince George's                                   ,16.137,Tulip Grove Elementary                                      ,2909 TRAINOR LANE,BOWIE,MD,20715,,Elementary
